long,lat,code,site_number
-90.70604167,38.15961389,MO,7018100
-104.817199,38.933882,CO,7103970
-104.822752,38.816382,CO,7105500
-104.795807,38.803049,CO,7105530
-104.733861,38.72944,CO,7105800
-104.67025,38.601665,CO,7106000
-104.593583,38.439722,CO,7106300
-104.601085,38.28778,CO,7106500
-102.01204,38.027463,KS,7137500
-94.344655,36.103136,AR,7194800
-94.28658056,36.22206944,AR,7195000
-94.533333,36.108611,AR,7195430
-94.923566,35.922869,OK,7196500
-94.29882489,34.91898861,AR,7247000
-94.484111,34.879824,OK,7247015
-91.65611111,33.86638889,AR,7364133
-95.124376,30.145493,TX,8070200
-95.605778,29.761896000000004,TX,8073500
-107.083937,39.373317,CO,9081000
-120.162135,39.107407,CA,10336660
-116.236389,47.551944,ID,12413470
-74.31709199,42.09814568,NY,1362370
-74.2261111,40.8847222,NJ,1389500
-74.41431800000002,42.011203,NY,1434021
-74.50098708,41.99537004,NY,1434025
-75.03767469,41.08815078,PA,1439500
-74.50527778,39.885,NJ,1466500
-75.33027778,39.64388889,NJ,1482500
-87.74585779,40.13725839,IL,3336645
-87.59724187,40.10087009,IL,3339000
-88.02253511,38.93643266,IL,3345500
-83.07361111,35.6675,NC,3460000
-90.15761855,41.48892309,IL,5447500
-88.24758898,42.443353,IL,5548280
-88.2903603,42.16641339,IL,5550001
-90.34040252,40.49004077,IL,5570000
-89.98511442,40.12393478,IL,5583000
-90.89624511,40.33032166,IL,5584500
-90.63179466,40.02477041,IL,5585000
-88.41338416,39.58336663,IL,5591200
-88.78145741,39.40726162,IL,5592000
-88.84173214,39.22976443,IL,5592100
-89.0889554,38.96060098,IL,5592500
-100.362344,42.902092,NE,6461500
-92.1432091,36.11618113,AR,7060500
-104.606085,38.253614,CO,7099970
-104.878031,38.854714,CO,7103700
-104.399136,38.248058,CO,7109500
-94.04130093,33.55206716,AR,7337000
-94.235763,34.37955418,AR,7340300
-91.4458333,33.62777778,AR,7364150
-112.785949,46.180301,MT,12323770
-112.76726,46.20825900000001,MT,12323800
-112.742817,46.397705,MT,12324200
-112.928661,46.590486,MT,12324680
-113.814268,46.826037,MT,12334550
-113.756487,46.89965,MT,12340000
-113.932329,46.877147,MT,12340500
-116.253333,47.568889,ID,12413000
-116.0925,47.53139,ID,12413210
-82.93722220000002,29.5913889,FL,2323500
-83.15733,39.84783,OH,3230450
-83.53104619,41.96060084,MI,4176500
-82.31682728,41.38199001,OH,4199500
-88.99871336,42.19446659,IL,5440000
-93.94995029,41.53387791,IA,5484500
-97.736719,41.442236,NE,6794000
-96.775625,41.45285300000001,NE,6796000
-97.426172,42.003061,NE,6799000
-96.727532,41.839444,NE,6799350
-96.454367,40.965506,NE,6803555
-95.812833,40.392717,NE,6811500
-95.596096,40.035558,NE,6815000
-96.587333,40.044686,NE,6882000
-92.74755278,35.983175,AR,7056000
-93.69741714,34.61009801,AR,7356000
-93.60850807,30.74714557,LA,8028500
-95.397161,29.775228,TX,8074500
-105.765563,39.949987,CO,9032000
-91.26179908,42.73998843,IA,5412500
-90.53485884,41.76697439,IA,5422000
-122.256733,44.209571,OR,14161500
-98.533666,33.909542,TX,7312500
-76.859946,40.224347,PA,1571500
-77.82477778,39.71638889,MD,1614500
-77.73019444,39.44977778,MD,1619500
-78.21083388,38.91400059,VA,1631000
-78.64279353,38.69345016,VA,1632900
-78.33611522,38.97677589999999,VA,1634000
-77.4285958,38.5873427,VA,1658500
-77.52915268,38.30846178,VA,1668000
-78.08583277,37.67097957,VA,2035000
-77.53305556,35.89444444,NC,2083500
-78.29361111,34.40444444,NC,2105769
-79.86972222,34.94583333,NC,2129000
-84.05824799999998,33.772884999999995,GA,2207120
-82.92762776,29.95578501,FL,2320500
-87.0362367,40.4118191,IN,3336000
-87.663446,45.32580895,MI,4067500
-94.10917,44.09591,MN,5320000
-93.96025,44.30753,MN,5325000
-91.597875,40.39240833,MO,5495000
-87.58141867,40.82281343,IL,5525000
-89.49842655,41.36586984,IL,5556500
-89.38370589,39.95143517,IL,5579500
-89.73566391,40.1319901,IL,5582000
-89.87399064,38.4061607,IL,5594800
-92.79075,39.53994167,MO,6905500
-93.364667,37.006583,MO,7052250
-90.764009,37.325049,MO,7061600
-91.20081944,36.64868056,MO,7071500
-94.604387,36.216193,AR,7195855
-94.48660625,35.88008235,AR,7196900
-95.436327,30.110495,TX,8068500
-106.870874,38.78416,CO,9112200
-106.949766,38.541936,CO,9114500
-111.663473,33.808375,AZ,9510000
-119.733962,46.639712,WA,12472800
-114.494722,42.5625,ID,13092747
-118.148849,46.758483,WA,13351000
-82.19786721,27.70475366,FL,2300100
-120.157691,39.132129,CA,10336676
-107.683115,38.04332700000001,CO,9146020
-107.745892,38.183879,CO,9146200
-75.74435907,41.35924619,PA,1536000
-76.91246379,41.32507836,PA,1552000
-78.80360999999998,38.60667,VA,1632082
-79.41889,37.90472000000001,VA,2021500
-78.96027778,34.4425,NC,2134500
-82.08150134,30.35884726,FL,2231000
-81.79647082,27.37504297,FL,2296500
-81.87952822,27.16671794,FL,2297100
-82.3123123,28.09751561,FL,2303330
-82.56055556,30.68055556,GA,2314500
-82.73818263,30.32578122,FL,2315500
-84.65186,30.38541,FL,2330000
-87.1391623,32.94512383,AL,2424000
-88.4631785,45.76356970000001,WI,4063700
-83.1588088,41.3078307,OH,4198000
-96.783692,46.861075,ND,5054000
-98.716217,47.805553,ND,5056000
-97.061197,47.409424,ND,5066500
-93.152425,42.314984,IA,5451210
-91.95961709,40.72780589,IA,5490500
-87.72391809,40.6300362,IL,5525500
-87.81867718,42.15280379,IL,5534500
-87.79561752,42.01225272,IL,5536000
-88.44146193,41.67169633,IL,5551700
-88.93091189,41.20836786,IL,5555300
-89.12925299,40.25476102,IL,5580000
-89.49452934,38.60977085,IL,5594000
-112.70169,45.526593,MT,6025500
-112.330558,45.612426,MT,6026500
-111.068274,44.656872,MT,6037500
-111.338288,44.866593,MT,6038500
-111.634138,45.490206,MT,6041000
-111.538307,47.561069,MT,6088500
-111.511842,47.525736,MT,6089000
-111.080528,48.306371,MT,6101500
-108.572635,46.428019,MT,6126500
-106.364476,48.129742,MT,6174500
-105.17887,48.170853,MT,6181000
-110.001851,45.002995,MT,6187915
-110.691321,44.992436,MT,6191000
-110.794381,45.11188,MT,6191500
-110.566039,45.597158,MT,6192500
-109.065422,45.010225,MT,6207500
-108.467356,45.799953,MT,6214500
-107.918721,45.316626,MT,6287000
-107.615095,45.00691,MT,6289000
-107.557305,45.735812,MT,6294000
-106.771449,45.141367,WY,6307500
-104.156603,47.67835,MT,6329500
-101.925726,47.286119,ND,6340000
-100.818193,45.657774,SD,6357800
-102.853786,43.941933,SD,6421500
-104.047435,44.749707,SD,6428500
-104.05355,44.5719,SD,6430500
-101.230706,43.100838,SD,6449100
-100.749861,43.601385,SD,6450500
-98.480927,44.998308,SD,6473000
-97.635622,43.185826,SD,6478500
-96.74894,44.17997,SD,6480000
-96.745329,43.790251,SD,6481000
-96.711161,43.566919,SD,6482020
-96.56169967,42.83721494,IA,6485500
-96.413918,42.48582800000001,NE,6486000
-104.538291,42.200523,WY,6670500
-98.740533,41.032444,NE,6784000
-98.449236,41.26334600000001,NE,6790500
-95.846946,40.681946,NE,6807000
-95.62582599,40.63250117,IA,6810000
-104.810254,38.928048,CO,7103990
-103.981626,38.091117,CO,7119500
-103.200485,38.033896,CO,7128500
-102.618527,38.105842,CO,7133000
-94.449639,36.59927800000001,MO,7188885
-94.60411,36.6709,MO,7189100
-103.418014,35.356996,NM,7227000
-97.93448,33.878711,TX,7315500
-95.582445,29.349686,TX,8114000
-97.650831,29.66634,TX,8172000
-98.355846,29.222185,TX,8181800
-106.142247,35.874747,NM,8313000
-106.440304,35.44420200000001,NM,8319000
-104.761936,35.059778,NM,8382650
-104.524986,34.730062,NM,8383500
-104.387758,34.604231,NM,8384500
-105.856679,40.325818,CO,9010500
-105.751951,39.84582,CO,9022000
-106.067558,39.625515,CO,9050700
-106.279247,39.625791,CO,9065500
-106.566697,38.860271,CO,9107000
-106.940877,38.521658,CO,9119000
-107.434221,38.925823,CO,9132500
-109.195114,38.79720800000001,UT,9180000
-109.449023,41.516354,WY,9217000
-109.422914,40.908293,UT,9234500
-109.783476,40.215517,UT,9302000
-108.09313600000002,40.013305,CO,9304800
-108.565378,40.179693,CO,9306290
-107.698114,36.801394,NM,9355500
-107.874232,37.038058,CO,9363500
-108.202018,36.721392,NM,9364500
-108.22563,36.72278,NM,9365000
-108.732311,36.79222,NM,9368000
-111.017686,41.43439,WY,10020100
-112.100782,41.576321,UT,10126000
-112.091887,41.278277,UT,10141000
-111.90188,40.663836,UT,10168000
-111.92327,40.733557,UT,10171000
-120.027128,38.848519,CA,103366092
-119.991571,38.922408,CA,10336610
-120.118521,39.051852,CA,10336645
-119.946577,39.240463,NV,10336698
-119.944911,39.240186,NV,10336700
-119.939906,39.087408,NV,10336730
-117.64533,33.883349,CA,11074000
-120.500278,36.983612,CA,11254000
-120.906591,37.26244000000001,CA,11262900
-112.562801,45.996871,MT,12323250
-112.805593,46.107703,MT,12323600
-112.781426,46.17937,MT,12323750
-112.914208,46.133537,MT,12323760
-113.330909,46.712152,MT,12331800
-114.054,46.831868,MT,12352500
-114.126779,46.86909,MT,12353000
-114.477371,49.000529,MT,12355000
-114.184848,48.361909,MT,12363000
-114.585126,47.367432,MT,12388700
-116.119167,44.907222,ID,13239000
-87.23413955,30.96518304,FL,2375500
-97.92587,32.615689,TX,8091000
-73.70761877,42.78535559,NY,1357500
-88.928446,43.816093,WI,4073462
-89.35261709,43.2088813,WI,5427718
-89.51178763,43.10332832,WI,5427948
-87.82089086,41.82225394,IL,5532500
-121.933013,37.37383,CA,11169025
-81.4192054,28.8152317,FL,2235000
-87.550045,38.489817,IN,3374000
-106.836178,45.008863,WY,6306300
-109.033992,37.005553000000006,CO,9371010
-119.558774,37.731593,CA,11264500
-78.77103000000002,38.31231,VA,1628500
-78.63866,38.74588,VA,1633000
-121.916194,42.514611,OR,11502500
-120.850278,37.295277,CA,11261500
-74.16277778,41.09805556,NJ,1387500
-80.38694444,35.85666667,NC,2116500
-90.18206558,41.55975563,IL,5446500
-81.046621,29.05052580000001,FL,2248000
-82.29578000000002,37.20708,VA,3208500
-99.540583,40.682572,NE,6768000
